Wavelength (nm)	Variant 1	Variant 2	Variant 3	Variant 4	Variant 5	Variant 6	Variant 7	Variant 8	Variant 9	Variant 10	NIH-13
236	-1385.366343	-1925.422423	-2394.012762	-1800.230895	-2852.703274	-2802.342362	-2630.372893	-1878.458274	-1655.223761	-1410.296773	-1362.796667
235	-1560.792373	-2243.893738	-2857.941079	-2152.60047	-3444.172407	-3336.029646	-3134.706553	-2170.741664	-2018.879159	-1699.882053	-1691.206111
234	-1819.81751	-2687.612312	-3341.629159	-2587.165643	-4028.195558	-3943.769527	-3777.470303	-2439.410128	-2392.806937	-1998.755641	-2116.525556
233	-2073.256101	-3193.755253	-3906.726929	-2973.370988	-4656.591377	-4546.866101	-4424.46881	-2794.759055	-2821.610123	-2331.897543	-2559.137778
232	-2386.047016	-3751.462537	-4509.497452	-3533.860088	-5352.637889	-5228.066472	-5035.867076	-3116.923366	-3307.063994	-2662.100505	-2999.118889
231	-2769.903475	-4409.659812	-5174.788579	-4001.6364	-6147.086815	-5935.358128	-5630.031977	-3471.265474	-3832.188229	-3086.879476	-3421.387222
230	-3258.833818	-5058.297269	-5821.161254	-4679.493195	-6932.981813	-6651.510133	-6116.351481	-3864.482274	-4299.487998	-3405.36204	-3791.361667
229	-3760.841926	-5809.407648	-6422.854667	-5213.846535	-7816.630126	-7364.881203	-6531.583506	-4299.838563	-4835.571931	-3825.609819	-4037.725556
228	-4290.152051	-6511.398403	-7064.920659	-5821.414478	-8650.835551	-8072.208768	-6902.972015	-4681.098916	-5278.751106	-4309.404314	-4317.011111
227	-4842.729202	-7175.456951	-7625.528214	-6464.448503	-9495.828381	-8797.833351	-7244.470365	-5181.022663	-5629.0939	-4606.147858	-4548.956111
226	-5388.635963	-7851.486061	-8092.511675	-7029.698468	-10296.29932	-9459.406862	-7491.851816	-5566.834849	-5907.267577	-5064.781119	-4801.867778
225	-5899.732092	-8477.196025	-8568.645587	-7616.052255	-11161.25274	-10137.77476	-7717.298284	-6004.032189	-6171.673167	-5493.974885	-5094.483889
224	-6434.907098	-9270.308827	-8950.68251	-8120.102228	-11902.88432	-10770.54714	-7922.85811	-6441.204982	-6403.47673	-5739.417131	-5408.579444
223	-6950.873974	-9734.155977	-9268.169173	-8539.15317	-12675.09815	-11345.07682	-8120.449713	-6915.767541	-6539.296136	-5970.322331	-5664.311667
222	-7439.37033	-10312.00214	-9533.300983	-8918.949536	-13296.5468	-11824.24137	-8259.66521	-7257.916415	-6705.243225	-6134.279717	-5976.888889
221	-7876.151325	-10607.77138	-9698.929487	-9087.112658	-13830.31702	-12231.47784	-8352.835316	-7678.415893	-6826.776029	-6449.553709	-6210.872222
220	-8282.237884	-10987.81014	-9782.735103	-9243.249008	-14264.33174	-12551.93872	-8452.716896	-7941.857659	-6957.340479	-6546.655616	-6475.927778
219	-8649.023725	-11074.75611	-9760.266266	-9335.352323	-14485.63551	-12698.48129	-8460.502877	-8216.208645	-7104.849279	-6694.480266	-6691.205556
218	-8907.129805	-11339.10474	-9755.32565	-9384.426315	-14635.28316	-12851.85737	-8534.530016	-8321.657256	-7105.492082	-6765.423937	-6940.6
217	-9134.40868	-11467.76295	-9689.395262	-9471.621068	-14746.81783	-13034.28416	-8565.228745	-8313.458064	-7170.791935	-6810.306127	-7034.65
216	-9396.489578	-11616.3826	-9632.170651	-9483.247575	-14878.71438	-13159.67751	-8568.582016	-8334.597108	-7112.994177	-6836.214866	-7187.755556
215	-9601.213625	-11790.83755	-9604.762255	-9562.251285	-14983.86252	-13315.07762	-8595.762686	-8199.900897	-7083.218345	-6906.286285	-7285.166667
214	-9837.75505	-11867.66393	-9574.2921	-9653.338695	-15144.17126	-13486.01573	-8533.326845	-8251.326459	-7108.442564	-6950.082089	-7298.094444
213	-10129.57621	-12029.42369	-9589.08421	-9810.901965	-15361.39019	-13753.53521	-8545.833962	-8127.858961	-7160.746762	-6996.057049	-7436.605556
212	-10446.12959	-12156.03317	-9750.706905	-10020.5027	-15571.17593	-14202.46511	-8548.78122	-8203.516155	-7271.351208	-7181.669472	-7464.805556
211	-10813.87745	-12528.51716	-10055.23746	-10452.64408	-15990.58059	-14756.52852	-8643.859263	-8269.017167	-7409.763193	-7469.176278	-7659.483333
210	-11199.0756	-12833.79661	-10399.40882	-10903.16939	-16365.37704	-15377.7384	-8650.704133	-8424.4506	-7619.892374	-7677.854271	-7835.372222
209	-11601.70811	-13103.7408	-10750.95844	-11335.31536	-16721.22492	-15854.88161	-8645.409317	-8374.853249	-7832.21207	-7910.091915	-7936.072222
208	-11758.4886	-13420.32518	-10884.70044	-11742.64039	-16981.19005	-16190.36367	-8338.925968	-8356.081325	-7894.598477	-8021.229421	-8019.611111
207	-11745.05412	-13192.41786	-10746.00749	-12042.75995	-16751.54924	-16231.00908	-7816.498482	-8075.631267	-7799.180557	-7793.030364	-7868.888889
206	-11307.23307	-12712.58748	-10256.47106	-12150.76418	-16013.55166	-15972.02505	-6953.021055	-7495.859906	-7554.933687	-7344.887213	-7581.466667
205	-10359.94151	-12013.34937	-9273.85531	-11986.31447	-15006.75737	-15399.23749	-5890.032801	-6599.97912	-7007.843405	-6558.561662	-6987.888889
204	-8928.062211	-11127.92104	-8068.308095	-11445.18503	-13056.38398	-14594.41242	-4598.74142	-5525.405345	-6112.716584	-5393.487599	-6291.227778
203	-7384.387578	-9885.302702	-6570.3823	-10524.94958	-10843.36967	-13582.1175	-3422.843154	-4388.606685	-5410.888197	-4208.429824	-5429.468333
202	-5347.511977	-8119.685146	-4668.830024	-9266.807288	-7839.296889	-12510.85893	-2295.001536	-3221.58684	-4253.418096	-2753.04213	-4381.623333
201	-2992.478646	-5697.336618	-2408.687079	-7464.256238	-5444.877062	-11002.33487	-1355.130675	-1507.124114	-2924.294029	-1282.900309	-3057.116667
200	-639.9562928	-2247.853671	-94.75764603	-5274.06552	-2101.876663	-8868.615751	-268.6220907	115.9646955	-1227.117508	705.310588	-1619.819444
199	1954.4867	1661.656759	2427.425524	-2753.744805	1242.863193	-6504.14802	960.4144467	2228.804452	621.1849583	2777.546229	-93.38377778
198	4753.692356	3170.334319	4602.996217	4.4266386	4254.506667	-3578.994558	2089.958124	4335.936383	3795.752177	4906.614681	1651.17
197	6976.256909	7658.650288	6563.748024	2224.199565	6895.191261	-115.6127779	3251.251369	6829.076125	5143.138608	7239.387423	3297.645
196	8152.946652	11126.85186	8109.372516	3457.8699	8702.242255	3989.737116	5156.39261	9022.789953	7379.4895	9109.764334	4564.860556
195	9316.923903	10611.77445	9595.353302	5049.748973	10201.1408	7720.51582	6196.265757	10437.51747	8524.637375	10566.80567	5997.731111
											7172.327778
											7560.327778
											8677.877778
											9144.572222
											6228.393889
